dummy,dummy
172117203744,GPTKA
172108218158,GPSUG
172103802155,GPPNK
172108218422,GPSUG
172104200899,KIM
172102801663,GPMAT
172111216775,GPANT
172103207928,GPPNK
172112203527,GPMRS
172107200606,MSSUD
172101812216,GPBAL
172103209124,GPPNK
172103801720,MSPNK 
172106206075,MSTMA
172114203783,GPBLK
172108217672,GPSUG
172118203732,GPJNP
172112203645,GPMRS
172107200625,MSSUD
172103209494,MSPNK
172120204368,MSSIN
172113203658,MSBTN
172108218143,GPSUG
172103208946,MSPNK
172103801714,GPPNK
172102801038,GPMAT
172104200846,GPKIM
172104200907,KIM
172106206356,GPTMA
172108217718,GPSUG
172103523671,PNK
172108205954,GPSUG
172108217954,GPSUG
172102801017,GPMAT
172107200725,SUD
172108217756,SUG
172108218558,GPSUG
172101810994,GPBAL
172103801251,GPPNK
172108208624,GPSUG
172119300273,GPWTP
172103802117,GPPNK
172111216745,GPANT
172103801499,MSPNK
172108209080,GPSUG
172103801879,MSPNK
172103209218,GPPNK
172118203825,GPJNP
172103209346,GPPNK
172103209027,MSPNK
172101810991,MSBAL
172102801300,GPTMA
172103801227,GPPNK
172101812017,GPBAL
172107200600,GPSUD
172114203934,GPBLK
172102801472,GPMAT
172108218026,MSSUG
172102801450,GPMAT
172108208724,GPSUG
172112203647,GPMRS
172103801812,GPPNK
172119300199,MSWTP
172108218394,GPSUG
172102801175,MSMAT
172103801698,GPPNK
172107200750,MSSUD
172118203940,MSJNP
172103801259,GPPNK
172108218033,GPSUG
172108218191,MSSUG
172107200584,GPSUD
172118203774,MSJNP
172103208991,GPPNK
172103207939,GPPNK
172119206646,GPWTP
172119300245,MSWTP
172113203683,MSBTN
172108218202,GPSUG
172103801442,MSPNK
172119300223,MSWTP
172120204369,MSSIN
172115203822,MSSLY
172112203648,GPMRS
172106205909,GPTMA
172101812348,GPBAL
172101810987,GPBAL
172107200828,MSSUD
172107200746,MSSUD
172108218009,SUG
172108217865,SUG
172114203802,GPBLK
172101812452,GPBAL
172103801468,PNK
172102801039,GPMAT
172102801191,GPMAT
172103209388,PNK
172103801301,GPPNK
172101812510,MSBAL
172104200847,GPKIM
172107200802,MSSUD
172108208785,GPSUG
172101812512,GPBAL
172106206102,GPTMA
172101812386,GPBAL
172103801632,GPPNK
172102801773,GPMAT
172102801180,GPMAT
172102801054,GPMAT
172101812433,MSBAL
172101812595,GPBAL
172111216754,MSANT
172103209228,MSPNK
172114203755,GPBLK
172101801066,GPBAL
172108208846,GPSUG
172102801270,GPMAT
172103801294,MSPNK
172108218364,GPSUG
172103801467,GPPNK
172103801880,GPPNK
172101812356,GPBAL
172107200714,SUD
172120204487,MSSIN
172101810908,GPBAL
172102801650,GPMAT
172109203653,GPPKN
172103209373,MSPNK
172102801791,MSMAT
172103209125,MSPNK
172108218502,SUG
172118204237,JNP
172101812265,BAL
172111216793,ANT
172101802816,BAL
172106206185,GPTMA
172119300277,WTP
172120204465,GPSIN
172103209098,GPPNK
172103801852,GPPNK
172101801159,GPBAL
172104200799,GPKIM
172106205664,GPTMA
172107200630,MSSUD
172120204671,SIN
172102801427,GPMAT
172101812620,GPBAL
172108217840,GPSUG
172104200910,KIM
172101812482,BAL
172101812417,GPBAL
172106205689,MSTMA
172106205890,MSTMA
172103209122,MSPNK
172101812068,MSBAL
172103209349,GPPNK
172108209327,GPSUG
172103802085,GPPNK
172103801600,GPPNK
172106206245,MSTMA
172106206176,GPTMA
172101812493,GPBAL
172108217955,GPSUG
172108217956,GPSUG
172101812547,GPBAL
172106206083,GPTMA
172106205736,GPTMA
172102801716,GPMAT
172119206644,GPWTP
172119215290,WTP
172106206166,TMA
172106201662,GPTMA
172106205914,MSTMA
172108218098,GPSUG
172103209256,MSPNK
172106205649,MSTMA
172106205644,TMA
172109203703,PKN_702
172108218128,GPSUG
172111216586,ANT
172106206246,TMA
172111216716,GPANT
172101800702,GPBAL
172112203654,GPMRS
172106206303,GPTMA
172106206305,GPTMA
172104200934,GPKIM
172108218508,SUG
172111216729,GPANT
172104210570,GPKIM
172119300159,WTP
172108217993,GPSUG
172120204415,SIN
172103801682,GPPNK
172119300206,GPWTP
172108218409,GPSUG
172106206142,GPTMA
172119300033,WTP
172101812365,GPBAL
172102801195,MSMAT
172106205672,GPTMA
172109203661,GPPKN
172103801723,GPPNK
172103801848,MSPNK
172107200844,SUD
172108218500,GPSUG
172104200795,MSKIM
172108208418,MSSUG
172112203514,MSMRS
172101810980,MSBAL
172108217749,GPSUG
172108209032,GPSUG
172103801285,GPPNK
172103209333,MSPNK
172101812534,GPBAL
172103209427,GPPNK
172103802067,GPPNK
172101812409,MSBAL
172101807106,GPBAL
172103208974,GPBAL
172119300165,GPWTP
172103209440,GPPNK
172103801558,MSPNK
172102801314,GPMAT
172106206135,GPTMA
172111216811,MSANT
172102801346,GPMAT
172108218050,GPSUG
172103208512,GPPNK
172108217765,SUG
172103800853,GPPNK
172108217678,SUG
172103802072,PNK
172106206266,GPTMA
172103801668,GPPNK
172120204373,SIN
172108208744,GPSUG
172103209386,GPPNK
172106206323,GPTMA
172108218505,GPSUG
172108218065,GPSUG
172108217731,GPSUG
172103801183,PNK
172102801284,GPMAT
172103209385,GPPNK
172103209054,PNK
172113203682,BTN
172103209273,GPPNK
172108217829,GPSUG
172104200929,GPKIM
172103209150,GPPNK
172102203544,GPMAT
172117203721,MSTKA
172108209352,GPSUG
172103209457,GPPNK
172103801626,GPPNK
172102801597,GPMAT
172103801851,GPPNK
172109203635,PKN_702
172111216605,GPANT
172104200892,GPKIM
172107200710,GPSUD
172108208651,GPSUG
172103209102,PNK
172101100770,GPBAL
172107200596,MSSUD
172118203869,MSJNP
172108217781,MSSUG
172108209358,MSSUG
172108218147,GPSUG
172108218344,GPSUG
172104200806,GPKIM
172102801230,GPMAT
172107200569,MSSUD
172103801665,MSPNK
172111216595,GPANT
172102801042,GPMAT
172102801723,GPMAT
172102801755,GPMAT
172106205933,GPTMA
172112203584,GPMRS
172103801969,MSPNK
172103802041,GPNK
172108218436,GPSUG
172108208766,GPSUG
172106205879,GPTMA
172113203677,GPBTN
172108217995,GPSUG
172111216818,MSANT
172111216786,MSANT
172117203750,MSTKA
172108218464,GPSUG
172108201504,GPPNK
172108208657,GPSUG
172106205709,GPTMA
172108217886,GPSUG
172108217667,MSSUG
172119300189,GPBON
172103209352,GPPNK
172103209411,GPPNK
172103801264,GPPNK
172108218203,GPSUG
172103208952,MSPNK
172104200539,GPKIM
172102801001,GPMAT
172113203649,MSBTN
172103801493,GPPNK
172106206141,GPTMA
172108209036,GPSUG
172111216548,GPANT
172108217820,GPSUG
172103801475,MSPNK
172114203844,GPBLK
172119300218,MSWTP
172108218096,MSSUG
172103801985,GPPNK
172103209092,GPPNK
172108701374,MSSUG
172108208645,GPSUG
172103209088,PNK
172103214208,GPPNK
172103801190,GPPNK
172104200396,KIM
172102801077,GPMAT
172108208754,SUG
172111216688,GPANT
172108209161,GPSUG
172107200762,SUD
172108217643,SUG
172103801364,GPPNK
172108209200,GPSUG
172103209404,GPPNK
172103801200,GPPNK
172103209369,GPPNK
172103801496,PNK
172108208745,GPSUG
172108218031,GPSUG
172108218442,SUG
172114203837,GPBLK
172113203668,GPBTN
172103209482,PNK
172103801588,GPPNK
172101812099,GPBAL
172104200750,MSBLK
172112203570,MRS
172102201825,GPMAT
172103209071,GPPNK
172101812053,GPBAL
172103801565,MSPNK
172104200332,MSKIM
172103209110,PNK
172108218059,GPSUG
172103802010,PNK
172103208981,GPPNK
172118203847,MSJNP
172103801514,GPPNK
172108209364,GPSUG
172108217858,GPSUG
172103801865,MSPNK
172103801580,GPPNK
172120204456,MSSIN
172101810948,GPBAL
172101812543,MSBAL
172108218039,GPSUG
172107200831,MSSUD
172117203762,MSTKA
172120204452,MSSIN
172108218430,MSSUG
172120204361,MSSIN
172103801458,MSPNK
172120204404,GPSIN
172114203836,MSBLK
172103209500,PNK
172103801564,GPPNK
172103700446,PNK
172102801656,GPMAT
172108217842,GPSUG
172106205685,GPTMA
172119300042,GPWTP
172103209290,PNK
172107200590,MSSUD
172103801198,GPPNK
172103801960,MSPNK
172114203878,MSBLK
172106205834,MSTMA
172101812000,GPBAL
172103209270,GPPNK
172101812574,GPBAL
172103209415,GPPNK
172106205660,GPTMA
172101812233,GPBAL
172103208948,MSPNK
172103209342,MSPNK
172104200531,GPKIM
172112203557,MSMRS
172114203936,GPBLK
172103801225,MSPNK
172118203898,GPJNP
172102801670,GPMAT
172114203869,GPBLK
172108217778,MSSUG
172103801479,GPPNK
172102801025,GPMAT
172103208741,MSPNK
172103801551,GPPNK
172101812154,GPBAL
172106205759,GGPTMA
172102801564,GPMAT
172118203899,GPJNP
172103207154,GPPNK
172102801461,GPMAT
172103801235,GPPNK
172103208925,GPPNK
172111216777,GPANT
172103209128,GPPNK
172103209026,GPPNK
172107200792,SUD
172108218382,MAT
172101812075,GPBAL
172101106927,GPBAL
172106212215,GPTMA
172103801199,MSPNK
172114203773,GPBLK
172103801637,MSPNK
172103801309,MSPNK
172108217764,GPSUG
172101810932,GPBAL
172102801140,GPMAT
172111201316,GPANT
172108218182,GPSUG
172104200745,GPKIM
172103802013,GPPNK
172114203745,GPBLK
172102801032,GPMAT
172101812355,GPBAL
172103208670,MSPNK
172103801920,MSPNK
172103801997,GPPNK
172103801434,MSPNK
172101812544,GPBAL
172101812485,GPBAL
172108208481,GPSUG
172101812047,GPBAL
172112203513,GPMRS
172108209217,MSSUG
172108208882,GPSUG
172108217726,GPSUG
172103208654,GPPNK
172102801160,GPMAT
172106205749,GPTMA
172107200610,MSSUD
172119300164,MSWTP
172108206930,GPSUG
172103208955,GPPNK
172109203720,MSPKN
172101812405,MSBAL
172114203889,MSBLK
172120204362,GPSIN
172101812263,MSBAL
172108208764,GPSUG
172101812205,MSBAL
172102801334,GPMAT
172101812127,GPBAL
172103209418,PNK
172103801633,GPPNK
172118203921,MSJNP
172108217806,GPSUG
172108217677,GPSUG
172103209142,MSPNK
172101812558,GPBAL
172108208671,MSSUG
172112203541,MSMRS
172108217961,MSSUG
172104200812,GPKIM
172102801509,GPKIM
172108218348,MSSUG
172120204462,MSSIN
172106206210,GPTMA
172114203898,GPBLK
172108208451,GPSUG
172108217741,GPSUG
172102801745,GPMAT
172103801430,GPPNK
172106205783,GPTMA
172107200735,SUD
172109203631,PKN_702
172103801701,GPPNK
172120204375,SIN
172103801145,GPPNK
172120204417,SIN
172119300264,GPWTP
172108209141,GPSUG
172118203926,GPJNP
172108218045,GPSUG
172108208583,GPSUG
172107200706,GPSUD
172103801740,PNK
172114203796,GPBLK
172120204413,SIN
172101812011,GPBAL
172108209061,GPSUG
172103801563,GPPNK
172108208464,GPSUG
172109203621,PKN_702
172102801245,GPMAT
172103801751,GPPNK
172106205848,GPTMA
172111216632,GPANT
172109203619,PKN_702
172103801233,PNK
172120204420,MSSIN
172119300217,MSWTP
172117203751,GPTKA
172101812451,GPBAL
172111201329,GPANT
172103801569,GPPNK
172103801703,GPPNK
172119300244,GPWTP
172118203686,MSJNP
172103801283,GPPNK
172106206174,GPTMA
172101812316,BAL
172101810890,GPBAL
172101205188,GPBAL
172103209405,PNK
172103209216,GPPNK
172112203558,GPMRS
172104200348,GPKIM
172111216553,GPANT
172101812289,GPBAL
172106205827,GPTMA
172102801657,GPMAT
172102801533,GPMAT
172118203844,MSJNP
172106206163,MSTMA
172107200556,MSSUD
172109203597,MSPKN
172111216566,MSANT
172111216539,GPANT
172103209157,GPPNK
172119300205,GPBON
172102801006,GPMAT
172103801358,GPPNK
172106206216,GPTMA
172104200974,GPKIM
172101801069,BAL
172101812319,BAL
172101812385,GPBAL
172103801257,GPPNK
172103213068,GPPNK
172108209215,GPSUG
172103801480,MSPNK
172106205701,GPTMA
172101812358,GPBAL
172117203703,GPTKA
172108209176,GPSUG
172108209347,GPSUG
172103208792,GPPNK
172103207949,GPPNK
172102801085,GPMAT
172104200704,MSKIM
172112203556,GPMAR
172102801420,MSMAT
172103801942,GPPNK
172102801108,GPMAT
172103209449,GPPNK
172106206084,GPTMA
172102801329,GPMAT
172111216699,MSANT
172118203639,GPJNP
172108205956,GPSUG
172102801557,GPMAT
172101812092,BAL
172101810992,GPBAL
172107200579,SUD
172103801533,GPPNK
172117203713,GPTKA
172118203916,JNP
172103801555,GPPNK
172103208905,PNK
172101812440,BAL
172104200839,GPKIM
172108209105,SUG
172111216694,ANT
172119300158,WTP
172106205793,GPTMA
172108214513,GPSUG
172103801456,PNK
172107200787,SUD
172103208786,GPPNK
172114203787,GPBLK
172104200837,GPSUD
172103801575,PNK
172101810790,GPBAL
172107200745,SUD
172103801661,GPPNK
172103208520,PNK
172108209185,GPSUG
172103209498,GPPNK
172103209085,PNK
172103209253,PNK
172103209432,GPPNK
172108208465,GPSUG
172101812174,GPBAL
172103801652,PNK
172101810979,GPBAL
172111216692,GPANT
172119300049,GPWTP
172106201670,GPTMA
172119300235,GPWTP
172111216612,GPANT
172108218135,GPSUG
172103209105,GPPNK
172103292241,MSPNK
172108217935,GPSUG
179107200011,GPSUD
172114203919,GPBLK
172104200673,GPKIM
172102801575,GPMAT
172106205787,GPTMA
172103801506,GPPNK
172108217787,GPSUG
172107200678,GPSUD
172107200676,GPSUD
172104200785,GPKIM
172103208642,MSPNK
172109203616,GPPKN
172101812473,GPBAL
172103801883,PNK
172103801948,GPPNK
172112203621,MRS
172108205966,SUG
172103801527,GPPNK
172102801654,GPMAT
172102801002,GPMAT
172103206385,BAL
172108209166,GPSUG
172103801761,GPPNK
172113203629,BTN
172119300175,GPWTP
172101812257,GPBAL
172120204414,SIN
172104200671,KIM
172103209123,GPPNK
172114203768,GPBLK
172119300242,GPWTP
172114203918,GPBLK
172113203633,GPBTN
172111216551,ANT
172103801222,GPPNK
172116205307,GPMAL
172103801415,GPPNK
172108217964,GPSUG
172102801069,GPMAT
172108217699,GPSUG
172101812499,GPBAL
172103801540,GPPNK
172106205837,GPTMA
172107810831,SUD
172120204457,SIN
172101810981,MSBAL
172103801704,PNK
172109203624,GPPKN
172108204864,GPPNK
172108204886,GPPNK
172101802798,BAL
172103801667,PNK
172101800262,GPBAL
172106206208,GPTMA
172117203718,GPTKA
172101812104,MSBAL
172104200676,MSKIM
172103801712,GPPNK
172102801128,GPMAT
172102801698,GPMAT
172106205726,GPTMA
172111216614,GPANT
172103209338,MSPNK
172103801711,MSPNK
172117203693,GPTKA
172103801431,GPPNK
172108217759,MSSUG
172108218173,MSSUG
172107200665,GPSUD
172108208426,GPSUG
172103209357,MSPNK
172106206213,MSTMA
172108217830,MSSUG
172108217972,MSSUG
172108218376,GPSUG
172101801440,GPBAL
172118203748,MSJNP
172103801877,PNK
172114203799,GPBLK
172103801424,MSPNK
172103209410,MSPNK
172103801194,MSPNK
172103801556,MSPNK
172103209322,GPPNK
172101812094,GPBAL
172108217818,GPSUG
172102202532,GPMAT
172103801327,GPPNK
172101812005,MSBAL
172114203847,GPBLK
172103208668,MSPNK
172108209012,MSSUG
172118203873,MSJNP
172107201311,MSSUD
172103801224,GPPNK
172103208993,GPPNK
172108208751,GPSUG
172108217716,GPSUG
172103209067,GPPNK
172103801538,GPPNK
172104200889,GPKIM
172108209078,GPSUG
172101812382,GPBAL
172101810972,GPBAL
172101812328,MSBAL
172103209188,GPPNK
172101810943,GPBAL
172101812158,MSBAL
172108209152,GPSUG
172114203791,GPBLK
172101812087,GPBAL
172111216743,GPANT
172101812132,MSBAL
172103209223,GPPNK
172101810946,GPBAL
172101809798,MSBAL
172118203838,MSJNP
172108209355,GPSUG
172108208696,GPSUG
172118203800,MSJNP
172101812173,GPBAL
172101810927,GPBAL
172101810983,GPBAL
172101812464,GPBAL
172108208736,GPSUG
172108208643,GPSUG
172103207944,GPPNK
172117203743,MSTKA
172103801146,GPPNK
172103801255,MSPNK
172108206083,GPSUG
172101812111,GPBAL
172101810919,GPBAL
172101812379,GPBAL
172108217852,MSSUG
172101812272,MSBAL
172106205889,MSTMA
172102442671,MSMAT
172106205727,MSTMA
172103801816,GPPNK
172106206063,GPTMA
172120217384,MSSIN
172111216796,GPANT
172101812246,GPBAL
172102801092,GPMAT
172108218088,SUG
172103801248,PNK
172114203930,GPBLK
172108200150,GPSUG
172102801448,GPMAT
172108208606,GPSUG
172119300241,WTP
172120217376,SIN
172101812208,BAL
172108217728,GPSUG
172104200838,KIM
172103801208,GPPNK
172101812447,MSBAL
172103801412,GPPNK
